ID,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,term_deposit
58,47,blue-collar,2,unknown,0,306,1,0,5,may,13,1,-1,0,0
59,40,blue-collar,1,unknown,0,24,1,0,5,may,185,1,-1,0,0
60,46,services,2,primary,0,179,1,0,5,may,1778,1,-1,0,0
61,32,admin.,2,tertiary,0,0,1,0,5,may,138,1,-1,0,0
62,53,technician,0,secondary,0,989,1,0,5,may,812,1,-1,0,0
63,57,blue-collar,2,primary,0,249,1,0,5,may,164,1,-1,0,0
64,33,services,2,secondary,0,790,1,0,5,may,391,1,-1,0,0
65,49,blue-collar,2,unknown,0,154,1,0,5,may,357,1,-1,0,0
66,51,management,2,tertiary,0,6530,1,0,5,may,91,1,-1,0,0
67,60,retired,2,tertiary,0,100,0,0,5,may,528,1,-1,0,0
68,59,management,0,tertiary,0,59,1,0,5,may,273,1,-1,0,0
69,55,technician,2,secondary,0,1205,1,0,5,may,158,2,-1,0,0
70,35,blue-collar,1,secondary,0,12223,1,1,5,may,177,1,-1,0,0
71,57,blue-collar,2,secondary,0,5935,1,1,5,may,258,1,-1,0,0
72,31,services,2,secondary,0,25,1,1,5,may,172,1,-1,0,0
73,54,management,2,secondary,0,282,1,1,5,may,154,1,-1,0,0
74,55,blue-collar,2,primary,0,23,1,0,5,may,291,1,-1,0,0
75,43,technician,2,secondary,0,1937,1,0,5,may,181,1,-1,0,0
76,53,technician,2,secondary,0,384,1,0,5,may,176,1,-1,0,0
77,44,blue-collar,2,secondary,0,582,0,1,5,may,211,1,-1,0,0
78,55,services,0,secondary,0,91,0,0,5,may,349,1,-1,0,0
79,49,services,0,secondary,0,0,1,1,5,may,272,1,-1,0,0
80,55,services,0,secondary,1,1,1,0,5,may,208,1,-1,0,0
81,45,admin.,1,secondary,0,206,1,0,5,may,193,1,-1,0,0
82,47,services,0,secondary,0,164,0,0,5,may,212,1,-1,0,0
83,42,technician,1,secondary,0,690,1,0,5,may,20,1,-1,0,0
84,59,admin.,2,secondary,0,2343,1,0,5,may,1042,1,-1,0,1
85,46,self-employed,2,tertiary,0,137,1,1,5,may,246,1,-1,0,0
86,51,blue-collar,2,primary,0,173,1,0,5,may,529,2,-1,0,0
87,56,admin.,2,secondary,0,45,0,0,5,may,1467,1,-1,0,1
88,41,technician,2,secondary,0,1270,1,0,5,may,1389,1,-1,0,1
89,46,management,0,secondary,0,16,1,1,5,may,188,2,-1,0,0
90,57,retired,2,secondary,0,486,1,0,5,may,180,2,-1,0,0
91,42,management,1,secondary,0,50,0,0,5,may,48,1,-1,0,0
92,30,technician,2,secondary,0,152,1,1,5,may,213,2,-1,0,0
93,60,admin.,2,secondary,0,290,1,0,5,may,583,1,-1,0,0
94,60,blue-collar,2,unknown,0,54,1,0,5,may,221,1,-1,0,0
95,57,entrepreneur,0,secondary,0,-37,0,0,5,may,173,1,-1,0,0
96,36,management,2,tertiary,0,101,1,1,5,may,426,1,-1,0,0
97,55,blue-collar,2,secondary,0,383,0,0,5,may,287,1,-1,0,0
98,60,retired,2,tertiary,0,81,1,0,5,may,101,1,-1,0,0
99,39,technician,2,secondary,0,0,1,0,5,may,203,1,-1,0,0
100,46,management,2,tertiary,0,229,1,0,5,may,197,1,-1,0,0
101,44,blue-collar,2,secondary,0,-674,1,0,5,may,257,1,-1,0,0
102,53,blue-collar,2,primary,0,90,0,0,5,may,124,1,-1,0,0
103,52,blue-collar,2,primary,0,128,1,0,5,may,229,1,-1,0,0
104,59,blue-collar,2,primary,0,179,1,0,5,may,55,3,-1,0,0
105,27,technician,1,tertiary,0,0,1,0,5,may,400,1,-1,0,0
106,44,blue-collar,2,secondary,0,54,1,0,5,may,197,1,-1,0,0
107,47,technician,2,tertiary,0,151,1,0,5,may,190,1,-1,0,0
108,34,admin.,2,secondary,0,61,0,1,5,may,21,1,-1,0,0
109,59,retired,1,secondary,0,30,1,0,5,may,514,1,-1,0,0
110,45,management,2,tertiary,0,523,1,0,5,may,849,2,-1,0,0
111,29,services,0,secondary,0,31,1,0,5,may,194,1,-1,0,0
112,46,technician,0,secondary,0,79,0,0,5,may,144,1,-1,0,0
113,56,self-employed,2,primary,0,-34,1,1,5,may,212,2,-1,0,0
114,36,blue-collar,2,primary,0,448,1,0,5,may,286,1,-1,0,0
115,59,retired,0,primary,0,81,1,0,5,may,107,1,-1,0,0
116,44,blue-collar,2,secondary,0,144,1,0,5,may,247,2,-1,0,0
117,41,admin.,2,secondary,0,351,1,0,5,may,518,1,-1,0,0
118,33,management,1,tertiary,0,-67,1,0,5,may,364,1,-1,0,0
119,59,management,0,tertiary,0,262,0,0,5,may,178,1,-1,0,0
120,57,technician,2,primary,0,0,0,0,5,may,98,1,-1,0,0
121,56,technician,0,unknown,0,56,1,0,5,may,439,1,-1,0,0
122,51,blue-collar,2,secondary,0,26,1,0,5,may,79,1,-1,0,0
123,34,admin.,2,unknown,0,3,1,0,5,may,120,3,-1,0,0
124,43,services,2,secondary,0,41,1,1,5,may,127,2,-1,0,0
125,52,technician,2,tertiary,0,7,0,1,5,may,175,1,-1,0,0
126,33,technician,1,secondary,0,105,1,0,5,may,262,2,-1,0,0
127,29,admin.,1,secondary,0,818,1,1,5,may,61,1,-1,0,0
128,34,services,2,secondary,0,-16,1,1,5,may,78,1,-1,0,0
129,31,blue-collar,2,secondary,0,0,1,0,5,may,143,1,-1,0,0
130,55,services,2,secondary,0,2476,1,0,5,may,579,1,-1,0,1
131,55,management,2,unknown,0,1185,0,0,5,may,677,1,-1,0,0
132,32,admin.,1,secondary,0,217,1,0,5,may,345,1,-1,0,0
133,38,technician,1,secondary,0,1685,1,0,5,may,185,1,-1,0,0
134,55,admin.,1,secondary,0,802,1,1,5,may,100,2,-1,0,0
135,28,unemployed,1,tertiary,0,0,1,0,5,may,125,2,-1,0,0
136,23,blue-collar,2,secondary,0,94,1,0,5,may,193,1,-1,0,0
137,32,technician,1,secondary,0,0,1,0,5,may,136,1,-1,0,0
138,43,services,1,unknown,0,0,0,0,5,may,73,1,-1,0,0
139,32,blue-collar,2,secondary,0,517,1,0,5,may,528,1,-1,0,0
140,46,blue-collar,2,secondary,0,265,1,0,5,may,541,1,-1,0,0
141,53,housemaid,0,primary,0,947,1,0,5,may,163,1,-1,0,0
142,34,self-employed,1,secondary,0,3,1,0,5,may,301,1,-1,0,0
143,57,unemployed,2,tertiary,0,42,0,0,5,may,46,1,-1,0,0
144,37,blue-collar,2,secondary,0,37,1,0,5,may,204,1,-1,0,0
145,59,blue-collar,2,secondary,0,57,1,0,5,may,98,1,-1,0,0
146,33,services,2,secondary,0,22,1,0,5,may,71,1,-1,0,0
147,56,blue-collar,0,primary,0,8,1,0,5,may,157,2,-1,0,0
148,48,unemployed,2,secondary,0,293,1,0,5,may,243,1,-1,0,0
149,43,services,2,primary,0,3,1,0,5,may,186,2,-1,0,0
150,54,blue-collar,2,primary,0,348,1,0,5,may,579,2,-1,0,0
151,51,blue-collar,2,unknown,0,-19,1,0,5,may,163,2,-1,0,0
152,26,student,1,secondary,0,0,1,0,5,may,610,2,-1,0,0
153,40,management,2,tertiary,0,-4,1,0,5,may,2033,1,-1,0,0
154,39,management,2,secondary,0,18,1,0,5,may,85,1,-1,0,0
155,50,technician,2,primary,0,139,0,0,5,may,114,2,-1,0,0
156,41,services,2,secondary,0,0,1,0,5,may,114,2,-1,0,0
157,51,blue-collar,2,unknown,0,1883,1,0,5,may,57,1,-1,0,0
158,60,retired,0,secondary,0,216,1,0,5,may,238,1,-1,0,0
159,52,blue-collar,2,secondary,0,782,1,0,5,may,93,3,-1,0,0
160,48,blue-collar,2,secondary,0,904,1,0,5,may,128,2,-1,0,0
161,48,services,2,unknown,0,1705,1,0,5,may,107,1,-1,0,0
162,39,technician,1,tertiary,0,47,1,0,5,may,181,1,-1,0,0
163,47,services,1,secondary,0,176,1,0,5,may,303,2,-1,0,0
164,40,blue-collar,2,secondary,0,1225,1,0,5,may,558,5,-1,0,0
165,45,technician,2,secondary,0,86,1,0,5,may,270,1,-1,0,0
166,26,admin.,1,secondary,0,82,1,0,5,may,228,1,-1,0,0
167,52,management,2,tertiary,0,271,1,0,5,may,99,1,-1,0,0
168,54,technician,2,secondary,0,1378,1,0,5,may,240,1,-1,0,0
169,54,admin.,2,tertiary,0,184,0,0,5,may,673,2,-1,0,1
170,50,blue-collar,2,primary,0,0,0,0,5,may,233,3,-1,0,0
171,35,blue-collar,2,secondary,0,0,1,0,5,may,1056,1,-1,0,0
172,44,services,2,secondary,0,1357,1,1,5,may,250,1,-1,0,0
173,53,entrepreneur,2,unknown,0,19,1,0,5,may,252,1,-1,0,0
174,35,retired,1,primary,0,434,0,0,5,may,138,1,-1,0,0
175,60,admin.,0,secondary,0,92,1,0,5,may,130,1,-1,0,0
176,53,admin.,0,secondary,0,1151,1,0,5,may,412,1,-1,0,0
177,48,unemployed,2,secondary,0,41,1,0,5,may,179,2,-1,0,0
178,34,technician,2,secondary,0,51,1,0,5,may,19,2,-1,0,0
179,54,services,2,secondary,0,214,1,0,5,may,458,2,-1,0,0
180,51,management,2,secondary,0,1161,1,0,5,may,717,1,-1,0,0
181,31,services,2,tertiary,0,37,1,0,5,may,313,1,-1,0,0
182,35,technician,0,secondary,0,787,1,0,5,may,683,2,-1,0,0
183,35,services,2,secondary,0,59,1,0,5,may,1077,1,-1,0,0
184,38,technician,2,secondary,0,253,1,0,5,may,416,1,-1,0,0
185,36,admin.,2,tertiary,0,211,1,0,5,may,146,2,-1,0,0
186,58,retired,2,primary,0,235,1,0,5,may,167,1,-1,0,0
187,40,services,0,unknown,0,4384,1,0,5,may,315,1,-1,0,0
188,54,management,2,secondary,0,4080,0,0,5,may,140,1,-1,0,0
189,34,blue-collar,1,secondary,0,53,1,1,5,may,346,1,-1,0,0
190,31,management,1,tertiary,0,0,1,0,5,may,562,1,-1,0,0
191,51,retired,2,secondary,0,2127,1,0,5,may,172,1,-1,0,0
192,33,management,2,tertiary,0,377,1,0,5,may,217,1,-1,0,0
193,55,management,2,tertiary,0,73,1,0,5,may,142,2,-1,0,0
194,42,admin.,2,secondary,0,445,1,0,5,may,67,1,-1,0,0
195,34,blue-collar,2,secondary,0,243,1,0,5,may,291,1,-1,0,0
196,33,blue-collar,1,secondary,0,307,1,0,5,may,309,2,-1,0,0
197,38,services,2,secondary,0,155,1,0,5,may,248,1,-1,0,0
198,50,technician,0,tertiary,0,173,0,1,5,may,98,1,-1,0,0
199,43,management,2,tertiary,0,400,1,0,5,may,256,1,-1,0,0
200,61,blue-collar,0,primary,0,1428,1,0,5,may,82,2,-1,0,0
201,47,admin.,2,secondary,0,219,1,0,5,may,577,1,-1,0,0
202,48,self-employed,2,tertiary,0,7,1,0,5,may,286,1,-1,0,0
203,44,blue-collar,2,secondary,0,575,1,0,5,may,477,1,-1,0,0
204,35,student,1,unknown,0,298,1,0,5,may,611,2,-1,0,0
205,35,services,2,secondary,0,0,1,0,5,may,471,1,-1,0,0
206,50,services,2,secondary,0,5699,1,0,5,may,381,2,-1,0,0
207,41,management,2,tertiary,0,176,1,1,5,may,42,1,-1,0,0
208,41,management,2,tertiary,0,517,1,0,5,may,251,1,-1,0,0
209,39,services,1,unknown,0,257,1,0,5,may,408,1,-1,0,0
210,42,retired,2,secondary,0,56,1,0,5,may,215,1,-1,0,0
211,38,blue-collar,2,secondary,0,-390,1,0,5,may,287,1,-1,0,0
212,53,retired,2,secondary,0,330,1,0,5,may,216,2,-1,0,0
213,59,housemaid,0,primary,0,195,0,0,5,may,366,2,-1,0,0
214,36,services,2,secondary,0,301,1,0,5,may,210,1,-1,0,0
215,54,blue-collar,2,primary,0,-41,1,0,5,may,288,1,-1,0,0
216,40,technician,2,tertiary,0,483,1,0,5,may,168,1,-1,0,0
217,47,unknown,2,unknown,0,28,0,0,5,may,338,2,-1,0,0
218,53,unemployed,2,unknown,0,13,0,0,5,may,410,3,-1,0,0
219,46,housemaid,2,primary,0,965,0,0,5,may,177,1,-1,0,0
220,39,management,2,tertiary,0,378,1,1,5,may,127,2,-1,0,0
221,40,unemployed,2,secondary,0,219,1,0,5,may,357,1,-1,0,0
222,28,blue-collar,2,primary,0,324,1,0,5,may,175,1,-1,0,0
223,35,entrepreneur,0,secondary,0,-69,1,0,5,may,300,1,-1,0,0
224,55,retired,2,secondary,0,0,0,1,5,may,136,1,-1,0,0
225,43,technician,0,unknown,0,205,1,0,5,may,1419,1,-1,0,0
226,48,blue-collar,2,primary,0,278,1,0,5,may,125,2,-1,0,0
227,58,management,2,unknown,0,1065,1,0,5,may,213,3,-1,0,0
228,33,management,1,tertiary,0,34,1,0,5,may,27,1,-1,0,0
229,36,blue-collar,2,unknown,0,1033,0,0,5,may,238,2,-1,0,0
230,53,services,0,secondary,0,1467,1,0,5,may,124,1,-1,0,0
231,47,blue-collar,2,primary,0,-12,1,0,5,may,18,1,-1,0,0
232,31,services,2,secondary,0,388,1,0,5,may,730,2,-1,0,0
233,57,entrepreneur,2,secondary,0,294,1,0,5,may,746,2,-1,0,0
234,53,blue-collar,2,unknown,0,1827,0,0,5,may,121,1,-1,0,0
235,55,blue-collar,2,primary,0,627,1,0,5,may,247,1,-1,0,0
236,45,blue-collar,2,primary,0,25,1,0,5,may,40,1,-1,0,0
237,53,admin.,0,secondary,0,315,1,0,5,may,181,2,-1,0,0
238,37,blue-collar,2,primary,0,0,1,0,5,may,79,1,-1,0,0
239,44,admin.,0,secondary,0,66,1,0,5,may,206,1,-1,0,0
240,49,blue-collar,0,primary,0,-9,1,1,5,may,389,1,-1,0,0
241,46,technician,2,secondary,0,349,1,1,5,may,127,1,-1,0,0
242,43,entrepreneur,2,unknown,0,100,1,0,5,may,702,1,-1,0,0
243,38,admin.,2,secondary,0,0,0,0,5,may,151,1,-1,0,0
244,43,technician,2,secondary,0,434,1,0,5,may,117,1,-1,0,0
245,49,management,2,tertiary,0,3237,1,0,5,may,232,3,-1,0,0
246,42,management,2,unknown,0,275,0,0,5,may,408,2,-1,0,0
247,22,blue-collar,1,secondary,0,0,1,0,5,may,179,2,-1,0,0
248,40,management,2,tertiary,0,207,1,0,5,may,39,1,-1,0,0
249,39,blue-collar,2,secondary,0,483,1,0,5,may,282,1,-1,0,0
250,51,services,2,secondary,0,2248,1,0,5,may,714,2,-1,0,0
251,49,admin.,2,secondary,0,428,1,0,5,may,50,1,-1,0,0
252,53,blue-collar,2,secondary,0,0,1,1,5,may,181,1,-1,0,0
253,34,services,1,secondary,0,0,1,0,5,may,142,1,-1,0,0
254,33,technician,0,secondary,0,140,1,0,5,may,227,1,-1,0,0
255,50,management,1,tertiary,0,297,1,0,5,may,119,1,-1,0,0
256,39,blue-collar,2,primary,0,279,1,0,5,may,361,1,-1,0,0
257,59,entrepreneur,0,secondary,0,901,1,0,5,may,73,3,-1,0,0
258,30,technician,1,secondary,0,2573,1,0,5,may,67,2,-1,0,0
259,36,services,2,secondary,0,143,1,1,5,may,350,1,-1,0,0
260,40,blue-collar,2,secondary,0,475,1,0,5,may,332,2,-1,0,0
261,53,blue-collar,2,secondary,0,70,1,0,5,may,611,2,-1,0,0
262,34,management,1,tertiary,0,318,1,0,5,may,113,2,-1,0,0
263,37,technician,2,secondary,0,275,1,0,5,may,132,1,-1,0,0
264,42,management,0,tertiary,0,742,1,0,5,may,58,3,-1,0,0
265,41,entrepreneur,2,primary,0,236,1,0,5,may,151,1,-1,0,0
266,30,student,1,tertiary,0,25,1,0,5,may,89,2,-1,0,0
267,37,management,1,tertiary,0,600,1,0,5,may,152,1,-1,0,0
268,39,admin.,0,secondary,0,-349,1,0,5,may,611,2,-1,0,0
269,41,blue-collar,2,primary,0,183,1,1,5,may,110,2,-1,0,0
270,40,blue-collar,2,primary,0,0,1,0,5,may,463,1,-1,0,0
271,42,management,1,tertiary,0,0,1,1,5,may,562,2,-1,0,1
272,40,blue-collar,0,primary,0,0,1,0,5,may,962,1,-1,0,0
273,57,technician,2,secondary,0,1078,1,0,5,may,10,4,-1,0,0
274,56,entrepreneur,0,secondary,0,155,0,0,5,may,118,3,-1,0,0
275,37,admin.,2,secondary,0,190,1,0,5,may,92,2,-1,0,0
276,59,retired,2,secondary,0,319,1,0,5,may,143,3,-1,0,0
277,39,services,0,secondary,0,-185,1,0,5,may,189,3,-1,0,0
278,49,services,2,secondary,0,47,0,0,5,may,234,2,-1,0,0
279,38,services,1,secondary,0,570,1,0,5,may,75,2,-1,0,0
280,36,self-employed,2,tertiary,0,19,0,0,5,may,189,2,-1,0,0
281,50,blue-collar,2,primary,0,61,1,0,5,may,621,3,-1,0,0
282,41,admin.,2,secondary,0,-62,1,1,5,may,55,2,-1,0,0
283,54,technician,2,tertiary,0,258,0,0,5,may,310,4,-1,0,0
284,58,blue-collar,2,primary,0,76,1,0,5,may,156,2,-1,0,0
285,30,blue-collar,1,secondary,0,0,1,0,5,may,5,2,-1,0,0
286,33,admin.,1,secondary,0,352,1,0,5,may,225,2,-1,0,0
287,47,admin.,2,secondary,0,368,1,0,5,may,125,2,-1,0,0
288,50,technician,1,tertiary,0,339,1,0,5,may,2,3,-1,0,0
289,32,blue-collar,2,secondary,0,1331,1,0,5,may,286,2,-1,0,0
290,40,self-employed,2,secondary,0,672,1,0,5,may,164,2,-1,0,0
291,37,management,2,tertiary,0,58,1,0,5,may,98,2,-1,0,0
292,54,technician,1,unknown,0,447,1,0,5,may,742,2,-1,0,0
293,24,student,1,secondary,0,423,1,0,5,may,226,3,-1,0,0
294,54,management,2,tertiary,0,0,0,0,5,may,120,2,-1,0,0
295,34,technician,2,secondary,0,19,1,0,5,may,362,4,-1,0,0
296,56,technician,0,primary,0,13,1,0,5,may,357,2,-1,0,0
297,31,blue-collar,1,secondary,0,3,1,0,5,may,200,2,-1,0,0
298,24,student,1,secondary,0,82,1,0,5,may,204,2,-1,0,0
299,42,blue-collar,0,primary,0,28,1,0,5,may,126,3,-1,0,0
300,57,technician,2,secondary,0,792,1,0,5,may,65,2,-1,0,0
301,42,blue-collar,2,unknown,0,408,1,0,5,may,107,2,-1,0,0
302,51,admin.,2,secondary,0,531,1,0,5,may,267,2,-1,0,0
303,57,retired,2,secondary,0,211,1,0,5,may,248,2,-1,0,0
304,36,services,1,secondary,0,62,1,0,5,may,215,2,-1,0,0
305,53,services,2,unknown,0,257,1,0,5,may,209,2,-1,0,0
306,50,technician,2,secondary,0,1234,1,0,5,may,205,2,-1,0,0
307,54,management,2,tertiary,0,313,1,0,5,may,83,2,-1,0,0
308,55,blue-collar,2,secondary,0,89,1,0,5,may,106,3,-1,0,0
309,44,blue-collar,2,secondary,0,129,1,1,5,may,189,2,-1,0,0
310,43,management,2,unknown,0,0,1,0,5,may,105,2,-1,0,0
311,56,admin.,2,secondary,0,353,1,0,5,may,106,2,-1,0,0
312,54,technician,2,unknown,0,851,1,0,5,may,108,2,-1,0,0
313,55,services,0,primary,0,96,1,1,5,may,311,2,-1,0,0
314,37,services,0,secondary,0,398,1,1,5,may,214,2,-1,0,0
315,33,admin.,1,tertiary,0,193,0,0,5,may,132,2,-1,0,0
316,46,admin.,2,secondary,0,-358,1,0,5,may,358,2,-1,0,0
317,36,blue-collar,2,secondary,0,539,1,1,5,may,453,2,-1,0,0
318,51,technician,1,secondary,0,0,1,0,5,may,364,2,-1,0,0
319,40,retired,1,primary,0,0,0,0,5,may,136,2,-1,0,0
320,42,blue-collar,2,secondary,0,490,1,0,5,may,386,2,-1,0,0
321,51,blue-collar,2,secondary,0,0,1,0,5,may,173,2,-1,0,0
322,49,blue-collar,2,unknown,0,403,1,0,5,may,241,2,-1,0,0
323,48,management,2,secondary,0,161,1,0,5,may,224,3,-1,0,0
324,32,technician,0,tertiary,0,2558,0,0,5,may,148,2,-1,0,0
325,31,admin.,1,secondary,0,98,1,0,5,may,196,2,-1,0,0
326,55,management,1,tertiary,0,115,0,0,5,may,111,4,-1,0,0
327,40,blue-collar,1,secondary,0,436,1,0,5,may,231,3,-1,0,0
328,47,technician,2,tertiary,0,831,1,0,5,may,316,3,-1,0,0
329,57,technician,2,unknown,0,206,1,0,5,may,216,3,-1,0,0
330,41,blue-collar,2,secondary,0,290,1,0,5,may,240,2,-1,0,0
331,48,blue-collar,2,secondary,0,1,0,0,5,may,669,3,-1,0,0
332,42,blue-collar,2,unknown,0,57,1,0,5,may,425,2,-1,0,0
333,30,blue-collar,1,secondary,0,-457,1,0,5,may,143,2,-1,0,0
334,58,management,1,tertiary,0,1387,1,0,5,may,174,5,-1,0,0
335,45,management,0,tertiary,0,24598,1,0,5,may,313,3,-1,0,0
336,49,blue-collar,2,secondary,0,30,1,0,5,may,135,4,-1,0,0
337,42,admin.,1,secondary,0,1022,1,0,5,may,146,2,-1,0,0
338,53,technician,2,secondary,0,56,1,1,5,may,152,2,-1,0,0
339,51,admin.,1,secondary,1,-2,0,0,5,may,402,3,-1,0,0
340,32,services,1,secondary,0,121,1,0,5,may,213,2,-1,0,0
341,41,blue-collar,1,secondary,0,842,1,0,5,may,144,3,-1,0,0
342,43,management,0,secondary,0,693,1,0,5,may,124,3,-1,0,0
343,40,blue-collar,0,secondary,0,-333,1,0,5,may,183,2,-1,0,0
344,50,blue-collar,2,primary,0,1533,1,0,5,may,325,2,-1,0,0
345,34,management,2,tertiary,0,46,1,0,5,may,39,4,-1,0,0
346,53,services,2,unknown,0,18,0,0,5,may,503,2,-1,0,0
347,45,technician,2,secondary,0,44,1,0,5,may,95,4,-1,0,0
348,39,blue-collar,2,primary,0,-100,1,0,5,may,680,2,-1,0,0
349,44,services,2,tertiary,0,510,1,0,5,may,421,4,-1,0,0
350,55,management,2,tertiary,0,685,1,0,5,may,174,3,-1,0,0
351,46,management,1,tertiary,0,187,1,0,5,may,113,2,-1,0,0
352,45,blue-collar,2,secondary,0,66,1,0,5,may,808,2,-1,0,0
353,34,admin.,2,secondary,0,560,1,0,5,may,198,3,-1,0,0
354,36,blue-collar,2,secondary,0,0,1,0,5,may,195,2,-1,0,0
355,59,unknown,0,unknown,0,27,0,0,5,may,347,3,-1,0,0
356,31,admin.,1,secondary,0,12,1,0,5,may,208,2,-1,0,0
357,44,blue-collar,1,secondary,0,34,1,0,5,may,404,4,-1,0,0
358,33,entrepreneur,1,tertiary,0,1068,1,0,5,may,396,2,-1,0,0
359,40,blue-collar,2,secondary,0,211,1,0,5,may,216,4,-1,0,0
360,46,admin.,1,tertiary,0,377,1,0,5,may,98,2,-1,0,0
361,48,management,2,tertiary,0,263,1,0,5,may,350,2,-1,0,0
362,42,services,2,secondary,0,1263,1,0,6,may,114,2,-1,0,0
363,27,services,2,secondary,0,8,1,0,6,may,88,3,-1,0,0
364,48,admin.,2,secondary,0,126,1,1,6,may,379,2,-1,0,0
365,59,admin.,2,secondary,0,230,1,0,6,may,190,3,-1,0,0
366,46,technician,2,tertiary,0,841,1,0,6,may,158,1,-1,0,0
367,38,admin.,0,secondary,0,308,1,0,6,may,102,1,-1,0,0
368,43,management,0,tertiary,0,1,1,0,6,may,306,1,-1,0,0
369,38,admin.,0,tertiary,0,86,1,0,6,may,218,1,-1,0,0
370,23,student,1,secondary,0,157,1,0,6,may,54,1,-1,0,0
371,34,services,2,secondary,0,22,1,0,6,may,344,1,-1,0,0
372,38,admin.,2,secondary,0,46,1,1,6,may,195,1,-1,0,0
373,37,blue-collar,2,secondary,0,1293,0,0,6,may,652,1,-1,0,0
374,25,admin.,1,secondary,0,122,1,0,6,may,286,1,-1,0,0
