satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
115,satisfied,Female,Loyal Customer,45,Business travel,Business,2007,2,2,2,2,2,5,4,3,3,3,3,3,3,5,0,0.0
116,dissatisfied,Female,disloyal Customer,20,Business travel,Eco,979,3,3,3,4,3,3,3,3,3,4,4,3,4,3,2,13.0
117,dissatisfied,Female,disloyal Customer,55,Business travel,Eco,1143,3,4,3,3,2,3,2,2,1,1,3,1,4,2,0,0.0
118,dissatisfied,Male,Loyal Customer,45,Business travel,Business,3027,3,5,5,5,2,3,3,1,1,1,3,3,1,4,120,108.0
119,satisfied,Female,Loyal Customer,36,Business travel,Business,1915,3,3,3,3,2,1,3,4,4,4,4,4,4,4,0,0.0
120,satisfied,Male,Loyal Customer,18,Personal Travel,Eco,1333,5,5,5,2,1,5,1,1,4,4,4,4,5,1,0,0.0
121,satisfied,Female,disloyal Customer,59,Business travel,Business,1868,4,4,4,1,4,4,4,4,4,5,4,3,4,4,6,0.0
122,satisfied,Female,Loyal Customer,24,Business travel,Business,2478,4,4,4,4,5,5,5,5,5,4,4,4,5,5,0,0.0
123,dissatisfied,Male,disloyal Customer,18,Business travel,Eco,2122,2,2,2,4,3,2,3,3,3,5,3,3,4,3,19,9.0
124,dissatisfied,Female,disloyal Customer,39,Business travel,Eco,1816,1,0,1,1,2,1,2,2,3,1,1,1,4,2,0,0.0
125,satisfied,Male,disloyal Customer,23,Business travel,Eco,2752,4,4,4,3,3,4,3,3,4,3,4,5,5,3,0,0.0
126,dissatisfied,Male,Loyal Customer,53,Personal Travel,Eco,1613,3,3,3,4,3,3,3,3,1,5,4,1,4,3,19,11.0
127,dissatisfied,Female,disloyal Customer,27,Business travel,Business,1572,1,1,1,4,1,1,1,1,5,2,5,3,4,1,0,0.0
128,dissatisfied,Male,Loyal Customer,64,Business travel,Business,1024,2,4,4,4,1,4,4,2,2,2,2,2,2,3,10,4.0
129,dissatisfied,Female,Loyal Customer,28,Personal Travel,Eco,1582,4,2,1,2,2,1,2,2,3,3,3,2,3,2,15,38.0
130,satisfied,Female,Loyal Customer,25,Personal Travel,Eco,2339,3,3,3,3,4,4,5,4,4,5,4,3,4,4,10,15.0
131,satisfied,Female,Loyal Customer,22,Business travel,Business,4756,5,5,5,5,2,2,2,2,4,3,4,3,4,2,0,0.0
132,satisfied,Male,Loyal Customer,36,Business travel,Business,3479,4,4,4,4,2,4,3,4,4,4,4,3,4,4,46,46.0
133,dissatisfied,Female,Loyal Customer,45,Business travel,Eco,1056,2,1,1,1,2,4,3,2,2,2,2,1,2,3,0,13.0
134,satisfied,Female,Loyal Customer,33,Personal Travel,Eco,2119,3,3,3,3,5,5,5,5,4,4,4,5,4,5,0,63.0
135,satisfied,Female,Loyal Customer,40,Business travel,Business,1810,5,4,5,5,2,1,2,3,3,4,3,3,3,1,0,19.0
136,dissatisfied,Male,Loyal Customer,28,Personal Travel,Eco,1571,4,4,3,2,2,3,2,2,5,5,4,3,4,2,1,0.0
137,dissatisfied,Male,Loyal Customer,7,Personal Travel,Eco,1255,3,3,3,3,2,3,2,2,4,1,1,3,3,2,0,0.0
138,satisfied,Male,Loyal Customer,41,Business travel,Business,2637,2,2,2,2,3,5,5,5,5,5,5,4,5,4,5,8.0
139,dissatisfied,Male,Loyal Customer,46,Business travel,Eco,1134,4,1,1,1,4,4,4,4,4,5,3,2,2,4,30,32.0
140,dissatisfied,Male,Loyal Customer,58,Business travel,Eco,1798,1,1,1,1,1,1,1,1,2,4,2,2,2,1,0,0.0
141,satisfied,Male,Loyal Customer,57,Business travel,Business,3952,1,1,1,1,5,5,5,5,5,5,5,4,5,3,55,53.0
142,dissatisfied,Male,Loyal Customer,32,Business travel,Eco,3876,3,4,4,4,3,3,3,3,1,5,2,3,4,3,4,0.0
143,satisfied,Female,Loyal Customer,13,Personal Travel,Eco,1365,4,4,4,4,5,5,5,5,4,3,5,5,5,5,0,0.0
144,satisfied,Female,Loyal Customer,41,Personal Travel,Eco Plus,1065,4,4,4,4,3,1,4,4,4,4,4,3,4,4,84,92.0
145,satisfied,Female,Loyal Customer,40,Personal Travel,Eco,1183,1,1,4,1,5,4,4,4,4,4,4,3,4,4,0,0.0
146,dissatisfied,Male,Loyal Customer,9,Personal Travel,Eco,3979,3,3,3,4,3,1,1,2,2,3,4,1,2,1,44,39.0
147,dissatisfied,Female,Loyal Customer,58,Personal Travel,Eco Plus,594,4,5,4,4,2,4,1,4,4,4,4,5,4,4,0,0.0
148,dissatisfied,Female,Loyal Customer,62,Business travel,Business,371,4,2,2,2,5,4,3,4,4,3,4,3,4,4,1,12.0
149,dissatisfied,Male,Loyal Customer,25,Business travel,Eco,2471,4,5,5,5,4,4,4,4,4,4,4,1,4,4,0,0.0
150,satisfied,Female,Loyal Customer,40,Business travel,Business,437,4,4,4,4,4,4,4,5,5,5,5,3,5,3,4,1.0
151,satisfied,Female,Loyal Customer,52,Business travel,Business,4030,3,3,5,3,5,5,4,4,4,4,4,5,4,4,62,52.0
152,dissatisfied,Male,Loyal Customer,63,Personal Travel,Eco,2695,3,5,3,1,4,3,4,4,5,3,4,5,4,4,0,0.0
153,dissatisfied,Male,Loyal Customer,26,Personal Travel,Eco,3047,2,1,3,4,3,5,4,1,5,4,3,4,3,4,44,60.0
154,satisfied,Female,Loyal Customer,40,Personal Travel,Eco,1496,4,4,1,4,4,4,4,4,4,5,5,5,4,4,58,65.0
155,satisfied,Female,Loyal Customer,68,Business travel,Business,3043,1,1,4,1,3,2,4,5,5,5,5,1,5,3,0,0.0
156,satisfied,Female,Loyal Customer,18,Personal Travel,Eco,1965,5,5,5,5,5,3,5,5,5,5,5,3,5,4,43,47.0
157,dissatisfied,Male,disloyal Customer,39,Business travel,Eco,1723,1,1,1,4,5,1,5,5,5,2,2,1,2,5,7,5.0
158,satisfied,Female,Loyal Customer,34,Personal Travel,Eco,1998,2,2,4,2,3,5,5,5,5,4,5,4,5,4,0,0.0
159,dissatisfied,Female,Loyal Customer,47,Business travel,Business,3775,1,4,4,4,2,3,4,1,1,1,1,1,1,1,9,95.0
160,satisfied,Female,Loyal Customer,57,Personal Travel,Eco,617,5,3,5,5,3,5,4,4,4,4,4,4,4,3,19,33.0
161,satisfied,Male,Loyal Customer,46,Business travel,Business,1637,1,1,1,1,2,4,5,5,5,5,5,4,5,5,0,0.0
162,dissatisfied,Female,Loyal Customer,33,Business travel,Business,3116,2,1,5,5,3,3,2,2,2,2,2,4,2,4,6,15.0
163,satisfied,Male,Loyal Customer,59,Business travel,Business,340,4,4,4,4,5,5,4,5,5,5,5,1,5,4,4,0.0
164,satisfied,Male,Loyal Customer,31,Business travel,Business,3191,1,1,1,1,5,5,5,5,5,3,4,3,4,5,46,42.0
165,dissatisfied,Female,Loyal Customer,28,Personal Travel,Eco,3116,4,4,4,1,2,4,2,2,4,4,3,5,4,2,2,3.0
166,satisfied,Female,Loyal Customer,26,Personal Travel,Eco Plus,1888,5,5,5,5,2,1,5,4,4,4,4,2,4,5,32,14.0
167,dissatisfied,Female,disloyal Customer,35,Business travel,Eco,2024,3,1,3,2,4,3,4,4,2,4,3,2,3,4,0,0.0
168,satisfied,Male,Loyal Customer,51,Business travel,Business,3329,0,5,0,2,4,4,5,5,5,5,5,4,5,4,0,0.0
169,satisfied,Female,Loyal Customer,52,Business travel,Business,2630,3,3,3,3,5,5,5,5,5,5,4,5,5,3,50,46.0
170,dissatisfied,Male,Loyal Customer,46,Business travel,Eco,1860,1,0,0,4,1,4,4,3,4,4,3,4,3,4,179,166.0
171,satisfied,Male,disloyal Customer,24,Business travel,Eco,3377,4,4,4,4,4,4,4,4,5,5,4,5,4,4,0,0.0
172,dissatisfied,Female,Loyal Customer,21,Business travel,Business,2147,1,0,0,4,4,0,2,4,4,5,3,1,3,4,0,13.0
173,satisfied,Male,disloyal Customer,41,Business travel,Business,2169,2,2,2,3,5,2,5,5,3,3,4,5,4,5,0,0.0
174,satisfied,Female,Loyal Customer,25,Business travel,Business,2794,2,2,2,2,5,5,5,5,3,2,5,5,5,5,0,0.0
175,dissatisfied,Male,Loyal Customer,36,Personal Travel,Eco,1671,3,3,3,3,5,3,5,5,1,1,1,3,3,5,4,0.0
176,dissatisfied,Female,Loyal Customer,51,Business travel,Business,1554,2,5,5,5,5,3,3,2,2,3,2,1,2,3,0,0.0
177,satisfied,Female,disloyal Customer,23,Business travel,Eco,1751,5,0,4,1,3,4,3,3,3,2,5,3,5,3,55,51.0
178,dissatisfied,Male,Loyal Customer,68,Personal Travel,Eco,1548,4,5,4,1,4,4,4,4,3,2,5,3,4,4,0,19.0
179,satisfied,Male,Loyal Customer,48,Personal Travel,Eco,3336,5,4,5,4,1,5,1,1,4,5,2,3,3,1,0,0.0
180,satisfied,Male,Loyal Customer,39,Business travel,Business,3955,0,0,0,3,1,5,4,3,3,3,3,2,3,1,0,0.0
181,satisfied,Female,Loyal Customer,68,Personal Travel,Eco,1063,5,4,5,1,2,4,5,4,4,5,3,4,4,5,0,0.0
182,dissatisfied,Female,disloyal Customer,23,Business travel,Eco,2017,1,2,1,4,1,1,4,1,3,5,3,3,4,1,0,0.0
183,satisfied,Male,Loyal Customer,44,Business travel,Business,1204,4,4,4,4,4,4,4,4,4,4,4,4,4,5,0,12.0
184,satisfied,Female,Loyal Customer,62,Personal Travel,Eco,1760,5,5,5,5,4,4,4,4,4,2,4,4,4,4,61,60.0
185,satisfied,Female,Loyal Customer,61,Personal Travel,Eco,872,5,2,5,5,2,1,4,5,5,5,5,3,5,2,0,0.0
186,dissatisfied,Female,Loyal Customer,42,Personal Travel,Eco,1502,4,1,3,3,3,2,4,1,1,3,1,2,1,2,64,74.0
187,dissatisfied,Male,Loyal Customer,63,Business travel,Business,1894,2,5,5,5,3,3,3,4,4,4,2,3,4,3,0,0.0
188,satisfied,Female,Loyal Customer,38,Business travel,Business,110,0,4,0,1,3,5,5,3,3,5,5,3,3,3,0,5.0
189,dissatisfied,Female,disloyal Customer,36,Business travel,Eco Plus,1881,3,3,3,3,3,3,3,3,1,5,1,5,3,3,0,0.0
190,dissatisfied,Female,disloyal Customer,22,Business travel,Eco Plus,2166,4,2,4,4,5,4,5,5,1,5,3,3,4,5,3,0.0
191,satisfied,Female,Loyal Customer,39,Business travel,Business,588,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,0.0
192,satisfied,Female,Loyal Customer,60,Personal Travel,Eco,1990,4,4,4,4,4,4,4,5,5,5,5,5,5,3,0,0.0
193,satisfied,Male,Loyal Customer,32,Personal Travel,Eco,3146,4,5,5,5,4,5,5,4,4,5,5,4,4,4,0,0.0
194,dissatisfied,Female,disloyal Customer,45,Business travel,Business,1810,3,3,3,4,5,3,5,5,1,4,3,1,3,5,2,0.0
195,satisfied,Female,Loyal Customer,52,Business travel,Business,3913,3,3,3,3,5,5,4,2,2,2,2,3,2,3,9,0.0
196,satisfied,Male,Loyal Customer,52,Business travel,Business,480,3,3,3,3,3,5,4,4,4,4,4,4,4,1,0,1.0
197,satisfied,Female,Loyal Customer,56,Business travel,Business,1841,5,5,5,5,5,4,4,5,5,5,5,3,5,4,4,0.0
198,dissatisfied,Male,Loyal Customer,26,Personal Travel,Eco,2058,2,2,2,3,5,2,5,5,4,1,3,3,4,5,0,0.0
199,satisfied,Female,Loyal Customer,35,Personal Travel,Eco,1425,0,3,1,3,1,5,2,4,4,4,4,4,4,5,48,31.0
200,dissatisfied,Female,disloyal Customer,37,Business travel,Business,1245,2,2,2,1,3,2,3,3,3,2,4,5,4,3,0,0.0
201,satisfied,Male,Loyal Customer,39,Business travel,Business,985,4,4,4,4,4,4,4,5,5,5,5,4,5,5,0,0.0
202,satisfied,Male,Loyal Customer,29,Business travel,Eco Plus,3699,4,4,4,4,4,4,4,1,4,3,3,4,4,4,0,4.0
