age,job,marital,education,default,balance,housing,loan,duration,campaign,pdays,previous,term_deposit,last_contact_day
45,36,admin,2,secondary,0,1314,1,0,330,3,-1,0,0,198
46,27,blue-collar,1,primary,0,431,1,0,286,2,-1,0,0,135
47,51,admin,2,unknown,0,3558,1,0,80,3,-1,0,0,160
48,44,blue-collar,2,secondary,0,466,1,1,158,5,350,1,0,134
49,52,unemployed,2,secondary,0,49,0,0,117,1,-1,0,0,120
50,48,blue-collar,1,secondary,0,580,1,0,185,2,-1,0,0,163
51,46,management,2,tertiary,0,189,1,0,111,1,-1,0,0,321
52,32,admin,1,tertiary,0,490,1,0,94,2,-1,0,0,129
53,42,blue-collar,2,secondary,0,-755,1,1,312,1,-1,0,0,153
54,31,blue-collar,1,primary,0,2369,1,1,470,2,-1,0,0,324
55,42,admin,1,unknown,0,22,0,0,246,3,-1,0,0,170
56,40,technician,2,secondary,0,782,1,0,224,2,-1,0,0,134
57,40,technician,1,secondary,0,200,1,0,322,2,-1,0,0,126
58,57,housemaid,2,primary,0,1142,0,0,238,2,-1,0,0,217
59,42,management,2,unknown,0,6573,1,0,56,4,-1,0,0,188
60,42,blue-collar,2,secondary,0,2717,1,1,181,2,270,2,0,110
61,29,admin,1,secondary,0,305,1,0,18,4,304,1,0,138
62,37,self-employed,1,tertiary,0,556,0,0,200,2,-1,0,0,168
63,33,blue-collar,1,secondary,0,213,1,0,163,2,-1,0,0,153
64,51,management,0,tertiary,0,71,1,0,178,2,-1,0,0,226
65,33,housemaid,2,primary,0,0,0,0,237,2,-1,0,0,223
66,57,unemployed,2,primary,0,2743,0,0,89,1,-1,0,0,29
67,55,technician,2,primary,0,938,0,1,742,1,-1,0,0,323
68,33,management,1,tertiary,0,2360,1,0,268,1,-1,0,0,324
69,38,technician,0,tertiary,0,1307,0,0,294,2,-1,0,0,134
70,39,blue-collar,2,primary,0,1564,0,0,57,1,-1,0,0,168
71,60,management,2,tertiary,0,6657,1,0,333,19,-1,0,0,210
72,44,self-employed,2,primary,0,0,0,0,843,3,-1,0,0,324
73,41,blue-collar,0,secondary,0,139,1,0,178,3,370,1,0,132
74,39,blue-collar,2,secondary,0,230,1,1,38,1,-1,0,0,202
75,34,blue-collar,2,secondary,0,243,1,0,291,1,-1,0,0,125
76,49,admin,2,secondary,0,0,0,0,159,4,-1,0,0,238
77,41,management,0,tertiary,0,3426,0,0,302,1,119,5,0,274
78,40,services,0,secondary,0,1155,0,1,175,1,138,1,0,322
79,30,entrepreneur,2,secondary,1,-388,1,0,263,1,293,3,0,127
80,57,blue-collar,2,primary,0,679,1,0,78,3,-1,0,0,157
81,36,blue-collar,2,secondary,0,590,1,0,282,2,-1,0,0,129
82,43,blue-collar,0,primary,0,49,1,0,100,1,-1,0,0,129
83,33,self-employed,2,secondary,0,217,1,1,132,5,304,5,0,135
84,55,admin,2,secondary,0,1105,1,1,94,1,-1,0,0,135
85,57,admin,1,secondary,0,738,0,0,56,1,-1,0,0,321
86,30,student,1,secondary,0,96,0,0,291,1,-1,0,0,35
87,35,blue-collar,2,primary,0,2730,1,0,65,1,-1,0,0,141
88,31,admin,2,secondary,0,2304,1,0,257,2,-1,0,0,324
89,45,technician,2,tertiary,0,548,0,0,108,4,-1,0,0,223
90,58,technician,1,secondary,0,382,0,0,460,2,-1,0,0,225
91,57,management,2,primary,0,-226,1,0,272,1,-1,0,0,155
92,77,retired,2,tertiary,0,0,0,0,190,1,-1,0,0,96
93,33,services,2,secondary,0,255,1,1,237,4,165,4,0,125
94,34,entrepreneur,2,secondary,1,-868,1,0,198,2,-1,0,0,181
95,36,entrepreneur,0,tertiary,0,219,0,0,358,4,-1,0,0,238
96,30,services,2,secondary,0,442,1,0,137,2,-1,0,0,128
97,41,unemployed,2,primary,0,4112,0,0,764,2,-1,0,0,36
98,54,entrepreneur,2,tertiary,0,1063,1,0,690,7,-1,0,0,98
99,42,management,0,secondary,0,117,1,0,105,1,-1,0,0,129
100,46,management,2,tertiary,0,1285,1,0,89,1,-1,0,0,147
101,27,services,1,secondary,0,-72,1,0,276,1,309,9,0,125
102,58,self-employed,2,tertiary,0,-81,0,0,54,22,-1,0,0,149
103,39,blue-collar,1,secondary,0,653,0,0,54,4,-1,0,0,162
104,29,blue-collar,0,unknown,0,17,1,0,31,2,-1,0,0,133
105,40,admin,2,secondary,0,334,1,0,84,5,-1,0,0,157
106,54,management,0,tertiary,0,124,0,0,119,11,-1,0,0,239
107,35,management,1,tertiary,0,0,0,0,131,2,-1,0,0,241
108,31,blue-collar,2,secondary,0,1354,1,1,222,2,-1,0,0,321
109,33,blue-collar,1,secondary,0,-38,1,0,184,1,-1,0,0,138
110,38,admin,2,secondary,0,-247,1,0,265,4,-1,0,0,147
111,31,technician,0,secondary,0,0,0,0,138,2,164,4,0,29
112,43,unemployed,2,secondary,0,3529,0,0,169,2,-1,0,0,36
113,45,blue-collar,2,secondary,0,4509,1,0,135,1,-1,0,0,135
114,43,management,2,tertiary,0,5670,1,0,184,2,-1,0,0,135
115,36,technician,2,secondary,0,0,0,0,120,6,-1,0,0,231
116,35,technician,1,secondary,0,-54,1,0,70,2,-1,0,0,150
117,39,blue-collar,2,primary,0,800,1,0,53,5,175,6,0,133
118,39,management,2,tertiary,0,183,1,0,324,2,-1,0,0,129
119,54,blue-collar,2,primary,0,45,1,0,142,20,-1,0,0,169
120,49,services,2,tertiary,0,411,0,0,9,6,-1,0,0,134
121,52,blue-collar,2,primary,0,1364,1,0,164,2,-1,0,0,218
122,40,unemployed,2,primary,0,557,1,0,173,1,-1,0,0,148
123,32,management,2,tertiary,0,1270,0,0,420,1,15,3,0,246
124,38,blue-collar,2,primary,0,1807,0,0,348,3,-1,0,0,127
125,60,blue-collar,2,unknown,0,3563,0,0,159,2,-1,0,0,225
126,49,management,2,tertiary,0,7007,0,0,325,2,-1,0,0,321
127,59,housemaid,2,primary,0,1071,0,0,140,1,-1,0,0,170
128,60,admin,1,secondary,0,3916,0,0,18,5,-1,0,0,169
129,43,blue-collar,2,secondary,0,-509,1,0,124,1,-1,0,0,126
130,58,technician,2,secondary,0,-942,1,0,131,1,-1,0,0,321
131,41,technician,2,tertiary,0,744,1,0,125,1,-1,0,0,134
132,47,management,2,tertiary,0,643,1,0,155,1,-1,0,0,128
133,41,admin,0,secondary,0,261,1,0,797,15,-1,0,0,210
134,43,technician,2,secondary,0,4056,0,0,154,2,-1,0,0,35
135,37,services,0,secondary,0,2152,1,0,200,1,-1,0,0,322
136,35,technician,1,secondary,0,24,0,0,392,1,-1,0,0,234
137,60,housemaid,2,primary,0,0,0,0,138,1,-1,0,0,169
138,41,blue-collar,2,secondary,0,281,1,0,123,4,-1,0,0,134
139,40,technician,2,tertiary,0,397,0,0,50,1,-1,0,0,169
140,53,admin,2,secondary,0,350,0,1,113,3,132,2,0,321
141,53,admin,2,secondary,0,244,1,1,197,2,-1,0,0,126
142,37,blue-collar,2,secondary,0,504,1,0,87,2,347,2,0,110
143,39,technician,2,tertiary,0,-218,0,0,8,13,-1,0,0,171
144,26,entrepreneur,2,tertiary,0,79,1,1,346,3,-1,0,0,129
145,35,admin,1,secondary,0,1087,0,0,110,1,-1,0,0,36
146,34,services,2,secondary,0,184,1,0,87,1,-1,0,0,322
147,28,management,1,tertiary,0,-380,1,0,285,4,-1,0,0,155
148,49,admin,1,secondary,0,2040,1,0,204,1,-1,0,0,135
149,29,blue-collar,1,primary,0,365,1,1,245,2,-1,0,0,127
150,54,blue-collar,2,secondary,1,381,1,1,198,1,-1,0,0,197
151,37,admin,1,secondary,0,310,0,1,179,1,-1,0,0,37
152,42,services,2,secondary,0,1263,1,0,114,2,-1,0,0,126
153,31,housemaid,2,tertiary,0,2190,1,0,25,6,258,18,0,132
154,36,management,0,tertiary,0,0,0,0,247,4,-1,0,0,234
155,43,self-employed,2,secondary,0,0,1,0,131,1,-1,0,0,128
156,31,blue-collar,2,secondary,0,-110,1,0,440,1,-1,0,0,146
157,33,technician,2,tertiary,0,1020,0,0,82,4,-1,0,0,239
158,45,blue-collar,2,secondary,0,226,0,0,170,2,212,2,0,35
159,30,admin,0,secondary,0,78,1,0,132,1,-1,0,0,205
160,34,blue-collar,2,secondary,0,-436,1,0,317,1,-1,0,0,146
161,38,technician,1,tertiary,0,2496,0,0,193,1,-1,0,0,168
162,58,retired,0,secondary,0,439,0,1,48,2,-1,0,0,191
163,57,management,2,tertiary,0,163,0,0,83,3,-1,0,0,218
164,43,management,2,tertiary,0,4016,1,0,159,2,-1,0,0,226
165,39,admin,0,secondary,0,32,0,1,8,10,-1,0,0,171
166,39,admin,2,secondary,0,145,1,1,337,3,330,6,0,133
167,39,admin,2,secondary,1,0,0,0,59,3,-1,0,0,149
168,59,blue-collar,2,secondary,0,57,1,0,98,1,-1,0,0,125
169,39,admin,1,secondary,0,1661,0,1,431,1,-1,0,0,189
170,31,technician,1,tertiary,0,387,0,0,149,1,-1,0,0,216
171,42,blue-collar,2,primary,0,560,1,1,139,2,-1,0,0,322
172,32,admin,2,tertiary,0,233,1,0,102,4,-1,0,0,324
173,48,blue-collar,2,primary,0,595,0,0,464,1,-1,0,0,205
174,38,blue-collar,2,secondary,0,2423,1,0,37,1,-1,0,0,160
175,49,admin,2,secondary,0,284,1,0,131,3,-1,0,0,218
176,32,technician,1,secondary,0,0,0,0,92,4,-1,0,0,232
177,34,management,1,tertiary,0,-64,1,1,693,7,-1,0,0,240
178,47,technician,2,secondary,0,912,0,0,1036,2,-1,0,0,325
179,35,management,2,tertiary,0,0,1,0,295,3,-1,0,0,202
180,35,technician,2,secondary,0,19,1,0,130,2,-1,0,0,129
181,32,services,2,secondary,0,2833,1,0,415,1,-1,0,0,89
182,42,technician,2,secondary,0,-245,0,1,63,1,-1,0,0,146
183,38,technician,2,secondary,0,0,0,0,55,1,-1,0,0,127
184,31,admin,1,secondary,0,50,0,0,395,1,-1,0,0,29
185,39,admin,2,secondary,0,0,1,0,69,1,-1,0,0,198
186,46,blue-collar,2,primary,0,258,1,0,217,1,-1,0,0,147
187,42,blue-collar,2,secondary,0,-755,1,1,312,1,-1,0,0,153
188,30,management,2,tertiary,0,10639,0,0,75,2,-1,0,0,230
189,29,technician,1,secondary,0,382,0,0,64,3,202,3,0,239
190,68,retired,1,unknown,0,518,0,0,74,1,-1,0,0,76
191,58,technician,2,secondary,0,471,1,1,61,1,-1,0,0,202
192,28,admin,1,secondary,0,419,1,0,158,2,-1,0,0,148
193,34,blue-collar,2,primary,0,3,1,0,26,1,-1,0,0,128
194,58,retired,2,secondary,0,1227,0,0,625,1,156,1,0,189
195,27,blue-collar,1,secondary,0,137,0,1,359,1,-1,0,0,206
196,35,technician,2,secondary,0,587,0,1,23,8,126,5,0,325
197,40,services,0,secondary,0,9,0,0,154,2,-1,0,0,209
198,49,technician,2,secondary,0,633,0,0,201,2,-1,0,0,217
199,28,blue-collar,1,secondary,0,38,1,0,31,1,-1,0,0,143
200,33,blue-collar,1,secondary,0,2945,0,0,91,1,-1,0,0,324
201,33,admin,2,tertiary,0,235,1,0,185,6,-1,0,0,210
202,28,technician,1,secondary,0,-97,0,0,96,4,-1,0,0,209
203,39,services,0,secondary,0,293,1,1,148,2,-1,0,0,209
204,44,admin,2,secondary,0,185,1,0,27,7,-1,0,0,138
205,41,management,2,tertiary,0,36,0,0,388,3,-1,0,0,323
206,31,technician,2,tertiary,0,2951,1,0,115,1,-1,0,0,198
207,29,blue-collar,1,secondary,0,208,1,0,249,1,-1,0,0,143
208,58,blue-collar,0,primary,0,2716,0,0,163,2,-1,0,0,324
209,39,entrepreneur,2,tertiary,0,2,1,0,180,1,-1,0,0,321
210,36,blue-collar,0,secondary,0,808,0,0,163,1,-1,0,0,167
211,42,management,0,tertiary,0,624,0,0,75,5,-1,0,0,230
212,55,blue-collar,2,secondary,0,1164,0,0,242,1,-1,0,0,322
213,35,blue-collar,1,primary,0,3339,1,0,304,2,-1,0,0,157
214,32,admin,1,secondary,0,287,0,0,465,3,-1,0,0,135
215,52,blue-collar,2,primary,0,10,0,0,588,3,-1,0,0,218
216,52,management,0,tertiary,1,0,0,0,335,1,-1,0,0,205
217,29,technician,2,tertiary,0,138,1,1,113,3,-1,0,0,195
218,24,services,1,secondary,0,-148,1,0,641,1,-1,0,0,141
219,37,management,2,tertiary,0,4357,0,0,548,2,-1,0,0,212
220,42,unemployed,2,secondary,0,0,1,0,158,1,-1,0,0,171
221,37,self-employed,2,secondary,0,883,0,0,153,1,-1,0,0,162
222,30,technician,1,secondary,0,853,0,0,343,1,-1,0,0,154
223,35,management,2,tertiary,0,4943,1,0,295,1,124,2,0,322
224,50,admin,2,secondary,0,1431,0,0,112,4,-1,0,0,232
225,34,technician,2,tertiary,0,2069,0,0,328,2,-1,0,0,232
226,47,technician,2,secondary,0,351,1,0,367,3,-1,0,0,134
227,32,management,1,tertiary,0,509,0,1,208,2,-1,0,0,323
228,28,blue-collar,2,secondary,0,196,1,0,176,7,-1,0,0,177
229,35,technician,2,secondary,0,-499,1,0,488,4,-1,0,0,209
230,43,unemployed,0,secondary,0,1577,1,0,87,1,-1,0,0,323
231,44,self-employed,1,secondary,0,125,1,0,109,3,-1,0,0,107
232,38,admin,2,primary,0,0,1,1,163,5,-1,0,0,206
233,29,admin,2,secondary,0,182,1,1,477,1,-1,0,0,126
234,43,unemployed,2,secondary,0,3,0,0,231,2,-1,0,0,202
235,51,blue-collar,0,primary,0,-28,0,1,220,2,-1,0,0,183
236,60,unknown,2,primary,0,4722,0,0,459,3,-1,0,0,171
237,35,blue-collar,2,secondary,0,80,1,1,579,2,-1,0,0,153
238,45,technician,2,secondary,0,1441,1,0,93,1,113,2,0,322
239,33,self-employed,2,tertiary,0,1545,1,0,357,2,-1,0,0,141
240,34,management,2,tertiary,0,4831,1,0,265,1,-1,0,0,35
241,56,technician,2,tertiary,0,1062,0,0,37,2,-1,0,0,171
242,32,blue-collar,1,secondary,0,0,0,0,271,6,-1,0,0,204
243,32,services,2,secondary,0,11,0,0,322,2,-1,0,0,232
244,44,blue-collar,2,primary,0,0,1,0,17,1,-1,0,0,126
245,28,self-employed,2,secondary,0,-228,1,1,164,3,-1,0,0,188
246,37,blue-collar,0,secondary,0,0,1,1,131,1,-1,0,0,35
247,53,entrepreneur,2,secondary,0,111,1,0,600,3,189,2,0,324
248,44,blue-collar,2,secondary,0,261,1,0,87,5,-1,0,0,139
249,38,technician,1,secondary,0,435,1,0,437,4,345,1,0,126
250,40,management,2,tertiary,0,0,1,0,52,11,-1,0,0,209
251,29,technician,1,secondary,0,103,0,0,314,1,-1,0,0,139
252,58,retired,2,secondary,0,3909,1,0,80,1,-1,0,0,154
253,37,unemployed,2,primary,0,941,0,0,280,1,-1,0,0,33
254,27,admin,2,secondary,0,1475,1,0,472,1,-1,0,0,147
255,50,retired,1,primary,0,208,0,0,51,1,-1,0,0,160
256,47,management,2,tertiary,0,-315,1,1,112,9,-1,0,0,239
257,33,admin,1,secondary,0,422,1,0,235,2,361,2,0,132
258,40,management,2,secondary,0,6695,1,0,297,1,252,1,0,37
259,55,management,2,primary,0,621,0,1,114,1,208,1,0,33
260,31,services,2,primary,0,11,1,0,174,2,-1,0,0,128
261,33,management,2,secondary,0,3132,1,0,350,5,-1,0,0,143
262,47,blue-collar,2,secondary,0,5041,0,0,184,1,-1,0,0,324
263,47,unknown,2,unknown,0,270,0,0,467,2,-1,0,0,218
264,36,blue-collar,2,primary,0,1580,1,0,615,3,-1,0,0,195
265,49,admin,1,secondary,0,827,1,0,61,1,-1,0,0,30
266,24,student,1,secondary,0,508,1,0,12,3,374,1,0,138
267,36,services,2,secondary,0,1024,1,0,111,2,-1,0,0,169
268,55,technician,2,secondary,0,1205,1,0,158,2,-1,0,0,125
269,49,blue-collar,2,secondary,0,-202,1,1,608,2,170,5,0,128
270,51,unemployed,2,secondary,0,1052,0,0,280,4,-1,0,0,237
271,31,technician,0,tertiary,0,2287,1,0,97,1,-1,0,0,141
272,47,housemaid,0,primary,0,1405,0,0,127,1,-1,0,0,163
273,44,entrepreneur,2,tertiary,0,3463,1,1,210,3,-1,0,0,240
274,40,technician,2,tertiary,0,516,1,0,175,5,12,1,0,40
275,60,retired,2,secondary,0,0,0,0,87,2,-1,0,0,237
276,51,services,2,primary,0,0,0,0,121,2,-1,0,0,220
277,32,services,0,secondary,0,264,0,0,71,1,-1,0,0,191
278,39,blue-collar,2,primary,0,394,1,0,981,2,-1,0,0,107
279,33,student,0,secondary,0,422,0,0,406,3,-1,0,0,218
280,51,self-employed,2,primary,0,106,1,0,217,1,169,5,0,126
281,33,management,2,tertiary,0,0,1,0,223,1,-1,0,0,153
282,39,management,1,tertiary,0,255,1,0,296,1,-1,0,0,125
283,57,admin,2,secondary,0,3242,0,0,521,4,-1,0,0,220
284,50,services,2,secondary,0,2362,1,1,59,4,-1,0,0,204
285,52,services,0,secondary,0,-57,0,0,140,1,-1,0,0,36
286,49,blue-collar,2,primary,0,3103,0,0,26,5,-1,0,0,40
287,34,blue-collar,1,secondary,0,550,1,0,90,3,346,1,0,110
288,35,management,2,tertiary,0,16,0,0,185,1,-1,0,0,323
289,29,management,2,tertiary,0,7832,1,0,304,2,-1,0,0,147
290,36,self-employed,1,tertiary,0,1296,1,0,352,4,-1,0,0,323
291,45,admin,1,secondary,0,-342,0,1,158,1,-1,0,0,181
292,26,student,1,tertiary,0,37,1,0,108,1,-1,0,0,128
293,54,management,2,tertiary,0,313,1,0,83,2,-1,0,0,125
294,44,admin,0,secondary,0,66,1,0,206,1,-1,0,0,125
295,26,unemployed,1,secondary,0,340,0,0,128,1,-1,0,0,28
296,37,management,2,tertiary,0,236,0,0,95,2,-1,0,0,240
297,33,services,2,secondary,0,184,1,0,109,4,-1,0,0,133
298,50,blue-collar,2,primary,0,419,1,0,116,4,-1,0,0,133
299,37,unknown,1,unknown,0,414,1,0,131,1,-1,0,0,127
300,43,management,2,tertiary,0,430,0,0,44,2,-1,0,0,321
301,30,services,2,secondary,0,208,0,1,213,3,-1,0,0,209
302,46,management,2,tertiary,0,1720,0,0,250,2,-1,0,0,217
303,40,admin,0,secondary,0,399,1,1,166,3,96,2,0,322
304,41,blue-collar,2,secondary,0,1954,0,0,65,1,110,2,0,322
305,49,services,2,secondary,0,153,0,0,123,4,-1,0,0,218
306,54,management,2,primary,0,1691,1,0,186,1,-1,0,0,324
307,57,technician,2,secondary,0,20,0,0,119,2,-1,0,0,234
308,37,management,2,tertiary,0,412,1,0,110,4,-1,0,0,141
309,31,admin,2,secondary,1,-51,0,1,173,2,-1,0,0,238
310,39,technician,1,secondary,0,4380,0,0,87,8,-1,0,0,190
311,45,admin,2,secondary,0,231,1,0,151,3,-1,0,0,169
312,34,blue-collar,2,secondary,0,2542,1,0,228,1,-1,0,0,134
313,31,blue-collar,2,tertiary,0,2827,1,0,238,3,-1,0,0,128
314,41,unemployed,0,secondary,0,1281,0,0,45,3,-1,0,0,212
315,47,blue-collar,2,secondary,0,327,1,0,352,1,-1,0,0,106
316,34,admin,1,secondary,0,1,1,0,185,7,280,1,0,40
317,29,services,2,tertiary,0,0,1,0,113,2,-1,0,0,155
318,41,management,0,tertiary,0,902,1,0,134,1,-1,0,0,93
319,49,housemaid,0,secondary,0,0,0,0,136,2,-1,0,0,120
320,59,retired,2,tertiary,0,135,1,0,94,1,-1,0,0,321
321,55,services,2,unknown,0,-45,1,0,764,7,-1,0,0,136
322,33,management,2,secondary,0,350,1,0,205,1,350,2,0,133
323,41,management,0,tertiary,0,236,0,0,159,2,-1,0,0,34
324,38,management,2,tertiary,0,1555,0,0,66,5,-1,0,0,232
325,31,services,1,secondary,0,0,1,0,400,1,-1,0,0,110
326,54,admin,1,secondary,0,1178,1,0,41,6,264,2,0,34
327,43,services,2,primary,0,448,1,0,118,6,-1,0,0,146
328,29,student,1,tertiary,0,559,0,0,143,2,-1,0,0,34
329,69,management,2,secondary,0,4,0,0,114,4,-1,0,0,296
330,32,admin,1,secondary,0,6188,1,1,147,1,-1,0,0,322
331,44,management,2,tertiary,0,588,1,0,245,2,-1,0,0,156
332,45,admin,2,secondary,0,373,0,1,274,3,-1,0,0,199
333,33,technician,1,secondary,0,513,1,0,53,4,-1,0,0,129
334,54,retired,2,secondary,0,883,0,0,305,4,-1,0,0,36
335,48,blue-collar,1,unknown,0,2961,0,0,361,1,-1,0,0,170
336,33,management,2,tertiary,0,377,1,0,213,2,276,1,0,36
337,41,blue-collar,2,secondary,0,1354,1,0,106,2,-1,0,0,124
338,47,entrepreneur,2,tertiary,0,0,1,0,213,1,-1,0,0,133
339,25,technician,1,secondary,0,1036,1,0,337,2,-1,0,0,206
340,32,unemployed,2,secondary,1,2,1,0,178,2,-1,0,0,133
341,31,services,2,secondary,0,0,1,0,224,2,-1,0,0,29
342,70,retired,2,secondary,0,2064,0,0,334,1,-1,0,0,295
343,58,services,2,secondary,0,4428,0,0,234,3,-1,0,0,322
344,26,blue-collar,2,secondary,0,986,1,0,209,3,-1,0,0,156
345,43,blue-collar,2,secondary,0,500,1,0,324,2,-1,0,0,195
346,39,services,2,secondary,0,554,1,0,251,1,-1,0,0,104
347,30,blue-collar,2,primary,0,123,1,0,55,4,-1,0,0,135
348,23,admin,2,secondary,0,836,1,0,674,1,-1,0,0,147
349,34,blue-collar,1,primary,0,505,1,0,351,1,-1,0,0,133
350,32,management,2,tertiary,0,578,0,1,29,2,-1,0,0,203
351,32,services,1,secondary,0,1364,1,1,85,5,-1,0,0,168
352,33,management,2,tertiary,0,644,1,1,124,2,271,2,0,34
353,59,unemployed,2,primary,0,46,0,0,44,2,-1,0,0,210
354,37,self-employed,2,secondary,0,2575,1,0,505,2,-1,0,0,195
355,36,blue-collar,0,secondary,0,-140,1,0,222,2,-1,0,0,146
356,39,technician,0,secondary,0,80,0,0,124,2,-1,0,0,171
357,36,management,2,tertiary,0,428,0,0,121,1,-1,0,0,148
358,40,blue-collar,2,primary,0,2495,1,0,135,2,354,3,0,132
359,30,management,1,secondary,0,340,1,0,136,2,361,1,0,135
360,34,management,2,tertiary,0,1262,0,0,478,1,-1,0,0,226
361,38,admin,2,secondary,0,47,1,0,120,1,98,5,0,222
362,46,blue-collar,0,secondary,0,1074,1,0,277,2,-1,0,0,134
363,57,retired,1,secondary,0,-609,0,1,168,1,-1,0,0,202
364,55,services,2,tertiary,0,64,1,1,151,6,-1,0,0,226
365,53,unemployed,2,secondary,0,76,1,1,283,1,-1,0,0,136
366,39,blue-collar,1,secondary,0,1967,0,0,156,9,-1,0,0,169
367,31,technician,1,secondary,0,4028,0,1,139,5,-1,0,0,237
368,48,management,2,tertiary,0,5887,0,0,227,2,-1,0,0,225
369,57,management,2,tertiary,0,813,0,0,91,3,-1,0,0,117
370,38,entrepreneur,2,secondary,0,61,1,1,170,5,-1,0,0,148
371,40,housemaid,2,secondary,0,1783,1,1,130,1,-1,0,0,323
372,45,services,2,secondary,0,350,1,1,146,1,-1,0,0,133
373,39,management,1,tertiary,0,816,1,0,37,3,-1,0,0,239
374,28,self-employed,1,tertiary,0,1579,0,0,122,3,-1,0,0,287
375,37,management,1,tertiary,0,37,0,0,253,2,-1,0,0,28
376,52,technician,2,unknown,0,0,1,0,136,1,-1,0,0,321
377,70,entrepreneur,2,tertiary,0,15265,0,0,551,2,-1,0,0,229
378,31,self-employed,2,primary,0,1074,1,0,1438,2,-1,0,0,143
379,47,technician,2,secondary,0,0,0,0,210,2,-1,0,0,231
380,36,entrepreneur,2,secondary,0,1412,1,1,226,1,-1,0,0,206
381,33,technician,2,secondary,0,95,1,0,190,2,-1,0,0,146
382,32,management,2,tertiary,0,514,1,0,497,2,-1,0,0,148
383,38,management,1,tertiary,0,8953,0,1,301,1,-1,0,0,324
384,25,blue-collar,2,primary,0,0,0,0,64,1,-1,0,0,188
385,50,blue-collar,2,primary,0,33,1,0,134,8,-1,0,0,153
386,45,services,2,secondary,0,88,1,0,87,4,-1,0,0,206
387,34,student,1,tertiary,0,873,1,0,267,2,-1,0,0,219
388,31,services,1,secondary,0,183,1,0,60,2,-1,0,0,192
389,34,blue-collar,2,secondary,0,175,1,0,50,2,364,2,0,134
390,31,management,1,tertiary,0,394,0,1,660,3,-1,0,0,183
391,33,admin,2,tertiary,0,1636,1,1,62,1,-1,0,0,322
392,55,self-employed,2,secondary,0,2387,1,0,155,4,-1,0,0,206
393,35,blue-collar,1,primary,0,21,1,0,129,1,-1,0,0,147
394,40,self-employed,2,secondary,0,311,1,0,205,1,351,2,0,126
395,53,management,2,tertiary,0,1619,0,0,89,1,-1,0,0,156
